ASSURED NAME,VESSEL,POLICY NUMBER,INCEPT DATE,EXPIRY DATE,ITEM NUMBER,ITEM TITLE,OCCUPANCY,CLAIM NUMBER,DATE OF LOSS,CURRENCY,POLICY GROSS SUM INSURED,POLICY RETAINED SUM INSURED,POLICY QS SUM INSURED,POLICY SURPLUS SUM INSURED,POLICY PMMSC SUM INSURED,POLICY OTHER TREATY SUM INSURED,POLICY FACUL SUM INSURED,ITEM GROSS SUM INSURED,ITEM RETAINED SUM INSURED,ITEM QS SUM INSURED,ITEM SURPLUS SUM INSURED,ITEM PMMSC SUM INSURED,ITEM OTHER TREATY SUM INSURED,ITEM FACUL SUM INSURED,LOSS RESERVE,LOSS PAID,EXPENSE RESERVE,EXPENSE PAID,RECOVERIES,LOSS DESCRIPTION,LOSS DETAIL,STATUS,FRONTING/REFERRED,INTM NUMBER,INTERMEDIARY NAME,WITH EX-GRATIA,CO INSURANCE,PISC LEAD CO I,ORG TYPE
RIVSON GOLDPLAST MANUFACTURING CORPORATION,,FI-NIL-BC-21-0000865-00-D,11/07/2021,11/07/2022,1,BUILDING,INDUSTRIAL - OTHERS,FI-NIL-BC-21-00010,12/16/2021,PHP,36962928,36962928,0,0,0,0,0,31609400,31609400,0,0,0,0,0,675837.1,675837.1,64842,64842,0,damaged building,,CLOSED,,713,"LBP INSURANCE BROKERAGE, INC.",N,N,N,I
JOSE LUIS R. ALVAREZ,,FI-NIL-BC-21-0000877-00-D,11/20/2021,11/20/2022,1,BUILDING,RESIDENTIAL,FI-NIL-BC-21-00014,12/16/2021,PHP,2000000,2000000,0,0,0,0,0,1500000,1500000,0,0,0,0,0,0,0,0,0,0,TYPHOON ODETTE,,CLOSED,,40000,BACOLOD BRANCH,N,N,N,R
EMILY LOPEZ GOYNE,,FI-NIL-BC-21-0000949-00-D,12/10/2021,12/10/2022,1,BUILDING 1,RESIDENTIAL,FI-NIL-BC-22-00003,12/16/2021,PHP,7500000,7500000,0,0,0,0,0,4700000,4700000,0,0,0,0,0,0,0,31299,31299,0,DAMAGE TO BUILDING,,OS-FOR APPROVAL,,1621,ELEANOR JOY P. SAGEMULLER,N,N,N,R
ADELAIDA FERNANDEZ,,FI-NIL-CB-20-0001765-00-D,12/21/2020,12/21/2021,1,BUILDING,RESIDENTIAL,FI-NIL-CB-22-00056,12/16/2021,PHP,1000000,1000000,0,0,0,0,0,1000000,1000000,0,0,0,0,0,0,0,0,0,0,DAMAGE TO BUILDING,,CLOSED,,2373,MAE CLAIRE C. FERNANDEZ,N,N,N,R
CLARISSE ENTERPRISES,,FI-NIL-CB-20-0001786-00-D,12/19/2020,12/19/2021,1,BUILDING,GENERAL - NON COMMERCIAL,FI-NIL-CB-22-00015,12/16/2021,PHP,4000000,4000000,0,0,0,0,0,1000000,1000000,0,0,0,0,0,63546.54,63546.54,15019.98,15019.98,0,TYPHOON ODETTE,,CLOSED,,2681,MENELEO C. LUCHE,N,N,N,I
RE-AN ENTERPRISES,,FI-NIL-CB-20-0001787-00-D,12/19/2020,12/19/2021,1,BUILDING,GENERAL - NON COMMERCIAL,FI-NIL-CB-22-00014,12/16/2021,PHP,4000000,4000000,0,0,0,0,0,1000000,1000000,0,0,0,0,0,50355.36,50355.36,18733.35,18733.35,0,TYPHOON ODETTE,,CLOSED,,2681,MENELEO C. LUCHE,N,N,N,I
ENECITAS L. GUCELA,,FI-NIL-CB-20-0001803-00-D,12/18/2020,12/18/2021,1,BUILDING,RESIDENTIAL,FI-NIL-CB-22-00048,12/16/2021,PHP,1500000,1500000,0,0,0,0,0,1300000,1300000,0,0,0,0,0,0,0,6403,6403,0,TYPHOON ODETTE CLAIM,,OS-FOR APPROVAL,,2373,MAE CLAIRE C. FERNANDEZ,N,N,N,R
HANITA COPINGCO TAMPOS,,FI-NIL-CB-20-0001808-00-D,12/19/2020,12/19/2021,1,BUILDING,RESIDENTIAL,FI-NIL-CB-21-00040,12/16/2021,PHP,4000000,4000000,0,0,0,0,0,3000000,3000000,0,0,0,0,0,0,0,0,0,0,TYPHOON ODETTE,,CLOSED,,30000,CEBU BRANCH,N,N,N,R
ESTRELLA DELA CERNA SASING & EVANGELINE DELA CERNA SASING,,FI-NIL-CB-21-0000003-00-D,01/23/2021,01/23/2022,1,BUILDING,RESIDENTIAL,FI-NIL-CB-21-00027,12/16/2021,PHP,2500000,2500000,0,0,0,0,0,2000000,2000000,0,0,0,0,0,216340.08,216340.08,0,0,0,TYPHOON ODETTE,,CLOSED,,30000,CEBU BRANCH,N,N,N,R
AGNES A. PARDILLO MS.,,FI-NIL-CB-21-0000027-00-D,01/04/2021,01/04/2022,1,BUILDING,GENERAL - COMMERCIAL,FI-NIL-CB-22-00012,12/16/2021,PHP,8500000,8500000,0,0,0,0,0,8500000,8500000,0,0,0,0,0,0,0,0,0,0,TYPHOON ODETTE,,OS-ADJUSTER,,30000,CEBU BRANCH,N,N,N,I
MARK & MICHELLE LESLIE TAN SPS. FOR THE ACCOUNT OF:WOMEN'S & CHILDREN'S COMMUNITY HOSPITAL,,FI-NIL-CB-21-0000043-00-D,02/11/2021,02/11/2022,1,BUILDING,GENERAL - COMMERCIAL,FI-NIL-CB-22-00098,12/16/2021,PHP,15000000,15000000,0,0,0,0,0,15000000,15000000,0,0,0,0,0,0,0,19048.8,19048.8,0,PROPERTY DAMAGE DUE TO TYPHOON,,OS-FOR APPROVAL,,1192,ALBERTO YAP,N,N,N,I
REUBEN GUZMAN AND REBECCA T. GUZMAN,,FI-NIL-CB-21-0000045-00-D,01/03/2021,01/03/2022,1,BUILDING,RESIDENTIAL,FI-NIL-CB-21-00017,12/16/2021,PHP,500000,500000,0,0,0,0,0,350000,350000,0,0,0,0,0,25153.03,25153.03,0,0,0,Damage to Building,,CLOSED,,0,DIRECT BUSINESS,N,N,N,R
SPS. RAUL & ELIZABETH JUGALBOT ,,FI-NIL-CB-21-0000078-00-D,03/16/2021,03/16/2022,1,BUILDING,RESIDENTIAL,FI-NIL-CB-22-00046,12/16/2021,PHP,4000000,4000000,0,0,0,0,0,4000000,4000000,0,0,0,0,0,1,0,0,0,0,DAMAGE TO BUILDING,,CLOSED,,3196,DEOGRACIAS B. GODIN,N,N,N,R
"NEW PARTRADERS, INC.",,FI-NIL-CB-21-0000118-00-D,01/07/2021,01/07/2022,1,OFF FFF/CONTS,GENERAL - COMMERCIAL,FI-NIL-CB-21-00008,12/16/2021,PHP,300000,300000,0,0,0,0,0,300000,300000,0,0,0,0,0,1,0,10255.51,10255.51,0,damaged contents/stocks,,CLOSED,,535,EGY INSURANCE AGENCY,N,N,N,R
UNA INTERNATIONAL BUILDING 2,,FI-NIL-CB-21-0000134-00-D,12/28/2020,12/28/2021,1,STOCKS,WAREHOUSE - OTHERS,FI-NIL-CB-21-00034,12/16/2021,PHP,30000000,30000000,0,0,0,0,0,30000000,30000000,0,0,0,0,0,0,0,0,0,0,TYPHOON ODETTE,,CLOSED,,1200,MAYNARDO M. SANTOS,N,N,N,I
"BALAMBAN LIEMPO FOOD INDUSTRIES, INC.",,FI-NIL-CB-21-0000166-00-D,02/05/2021,02/05/2022,1,MAC/EQPTS,GENERAL - COMMERCIAL,FI-NIL-CB-22-00053,12/16/2021,PHP,5000000,5000000,0,0,0,0,0,4000000,4000000,0,0,0,0,0,0,0,7090,7090,0,TYPHOON ODETTE,,CLOSED,,3202,JEFFREY E. MIQUIABAS,N,N,N,I
VICKY & JONNA ADAN,,FI-NIL-CB-21-0000182-00-D,01/19/2021,01/19/2022,1,BUILDING,WAREHOUSE - OTHERS,FI-NIL-CB-22-00038,12/16/2021,PHP,3000000,3000000,0,0,0,0,0,3000000,3000000,0,0,0,0,0,0,0,0,0,0,DAMAGE TO BUILDING,,CLOSED,,2263,TOMAS B. TAN,N,N,N,R
TEOFILO CHONG,,FI-NIL-CB-21-0000183-00-D,01/19/2021,01/19/2022,1,STOCKS,WAREHOUSE - OTHERS,FI-NIL-CB-22-00041,12/16/2021,PHP,7000000,7000000,0,0,0,0,0,6000000,6000000,0,0,0,0,0,5000,0,0,0,0,DAMAGE TO BUILDING,,CLOSED,,2263,TOMAS B. TAN,N,N,N,R
JANINE MAITLAND SMITH,,FI-NIL-CB-21-0000204-00-D,02/19/2021,02/19/2022,1,BUILDING,RESIDENTIAL,FI-NIL-CB-21-00045,12/16/2021,PHP,25000000,25000000,0,0,0,0,0,20000000,20000000,0,0,0,0,0,0,0,29470.76,29470.76,0,TYPHOON ODETTE,,CLOSED,,0,DIRECT BUSINESS,N,N,N,R
ABCED SYSTEM CORP.,,FI-NIL-CB-21-0000231-00-D,02/28/2021,02/28/2022,1,STOCKS,WAREHOUSE - OTHERS,FI-NIL-CB-22-00079,12/16/2021,PHP,15000000,15000000,0,0,0,0,0,15000000,15000000,0,0,0,0,0,1825680.13,1825680.13,63949.95,63949.95,0,damage to property,,CLOSED,,3432,ERWIN U. YU,N,N,N,I
UVILFREDO & MILAGROS AGOR,,FI-NIL-CB-21-0000243-00-D,02/02/2021,02/02/2022,1,BUILDING,WAREHOUSE - OTHERS,FI-NIL-CB-22-00081,12/16/2021,PHP,5000000,5000000,0,0,0,0,0,3500000,3500000,0,0,0,0,0,550,550,0,0,0,DAMAGE TO BUILDING,,CLOSED,,384,PIONEER GROUP-EMPLOYEES,N,N,N,R
ATHECOR DEVELOPMENT CORP.,,FI-NIL-CB-21-0000263-00-D,02/15/2021,02/15/2022,1,BUILDING,GENERAL - NON COMMERCIAL,FI-NIL-CB-22-00089,12/16/2021,PHP,16000000,16000000,0,0,0,0,0,8000000,8000000,0,0,0,0,0,75286.99,75286.99,16750.74,16750.74,0,PROPERTY DAMAGE DUE TO TYPHOON,,CLOSED,,1031,DINAH J. DEJORAS,N,N,N,I
SHANE M. NAVARRO,,FI-NIL-CB-21-0000282-00-D,02/03/2021,02/03/2022,1,BUILDING,RESIDENTIAL,FI-NIL-CB-22-00055,12/16/2021,PHP,3000000,3000000,0,0,0,0,0,2500000,2500000,0,0,0,0,0,14073.75,14073.75,0,0,0,DAMAGE TO BUILDING,,CLOSED,,90020,INTERNATIONAL MARKETING GROUP (IMG),N,N,N,R
SEGUNDO AND VICTORIA INFIESTO SPS.,,FI-NIL-CB-21-0000305-00-D,03/22/2021,03/22/2022,1,BUILDING,GENERAL - COMMERCIAL,FI-NIL-CB-22-00077,12/16/2021,PHP,8000000,8000000,0,0,0,0,0,7000000,7000000,0,0,0,0,0,45305.2,45305.2,0,0,0,DAMAGE TO BUILDING,,CLOSED,,2244,CHESTER O. LIM,N,N,N,R
RENATO G. GAWAT MR.,,FI-NIL-CB-21-0000311-00-D,02/15/2021,02/15/2022,1,BUILDING,RESIDENTIAL,FI-NIL-CB-21-00035,12/16/2021,PHP,10000000,10000000,0,0,0,0,0,9000000,9000000,0,0,0,0,0,0,0,8221.33,8221.33,0,TYPHOON ODETTE,,CLOSED,,30000,CEBU BRANCH,N,N,N,R
ENGRID DEGAMO CABEGUIN &/OR IAN CABEGUIN,,FI-NIL-CB-21-0000324-00-D,03/22/2021,03/22/2022,1,BUILDING,RESIDENTIAL,FI-NIL-CB-21-00016,12/16/2021,PHP,500000,500000,0,0,0,0,0,300000,300000,0,0,0,0,0,150643.62,150643.62,26507.01,26507.01,0,Damage to Building,,CLOSED,,712,VENUS MARIE E. LABRA,N,N,N,R
ENGRID DEGAMO CABEGUIN &/OR IAN CABEGUIN,,FI-NIL-CB-21-0000324-00-D,03/22/2021,03/22/2022,2,HSH/FFF,RESIDENTIAL,FI-NIL-CB-21-00016,12/16/2021,PHP,500000,500000,0,0,0,0,0,200000,200000,0,0,0,0,0,90418.51,90418.51,0,0,0,Damage to Building,,CLOSED,,712,VENUS MARIE E. LABRA,N,N,N,R
CLD DEVELOPMENT CORP.,,FI-NIL-CB-21-0000341-00-D,02/21/2021,02/21/2022,1,BUILDING,RESIDENTIAL,FI-NIL-CB-21-00010,12/16/2021,PHP,28000000,28000000,0,0,0,0,0,25000000,25000000,0,0,0,0,0,0,0,0,0,0,damaged building and fff,,CLOSED,,535,EGY INSURANCE AGENCY,N,N,N,I
RAUL AND ELIZABETH JUGALBOT SPS.,,FI-NIL-CB-21-0000350-00-D,05/09/2021,05/09/2022,1,BUILDING,RESIDENTIAL,FI-NIL-CB-21-00046,12/16/2021,PHP,14693700,14693700,0,0,0,0,0,11693700,11693700,0,0,0,0,0,489702,489702,19644.35,19644.35,0,TYPHOON ODETTE,,CLOSED,,3196,DEOGRACIAS B. GODIN,N,N,N,R
DR. SERAPIO SALAZAR,,FI-NIL-CB-21-0000353-00-D,02/23/2021,02/23/2022,1,BUILDING,RESIDENTIAL,FI-NIL-CB-22-00036,12/16/2021,PHP,7000000,7000000,0,0,0,0,0,3000000,3000000,0,0,0,0,0,1,0,0,0,0,DAMAGE TO BUILDING,,CLOSED,,4017,MARIA DAHLIA A. BORRES,N,N,N,R
MA. ALMA LUNA RAYNO,,FI-NIL-CB-21-0000372-00-D,03/01/2021,03/01/2022,1,BUILDING,RESIDENTIAL,FI-NIL-CB-22-00023,12/16/2021,PHP,4000000,4000000,0,0,0,0,0,3000000,3000000,0,0,0,0,0,206659.31,206659.31,26364,26364,0,Damage to Building,,OS-FOR APPROVAL,,30000,CEBU BRANCH,N,N,N,R
ABCED SYSTEM CORP.,,FI-NIL-CB-21-0000428-00-D,03/27/2021,03/27/2022,1,BUILDING,WAREHOUSE - OTHERS,FI-NIL-CB-22-00100,12/16/2021,PHP,20000000,20000000,0,0,0,0,0,20000000,20000000,0,0,0,0,0,0,0,0,0,0,PROPERTY DAMAGE DUE TO TYPHOON,,CLOSED,,3432,ERWIN U. YU,N,N,N,I
EMILY C. ZAPANTA AND MICHAELANGELO O. CHI,,FI-NIL-CB-21-0000444-00-D,04/10/2021,04/10/2022,1,BUILDING,RESIDENTIAL,FI-NIL-CB-21-00020,12/16/2021,PHP,6500000,6500000,0,0,0,0,0,6000000,6000000,0,0,0,0,0,91633.84,91633.84,0,0,0,Damage to Building,,CLOSED,,3196,DEOGRACIAS B. GODIN,N,N,N,R
EVA MAGALANG,,FI-NIL-CB-21-0000451-00-D,03/05/2021,03/05/2022,1,BUILDING,RESIDENTIAL,FI-NIL-CB-21-00022,12/16/2021,PHP,2000000,2000000,0,0,0,0,0,2000000,2000000,0,0,0,0,0,0,0,8864.51,8864.51,0,Damage to Building,,CLOSED,,30000,CEBU BRANCH,N,N,N,R
ANITA RAMIL,,FI-NIL-CB-21-0000492-00-D,03/18/2021,03/18/2022,1,BUILDING,RESIDENTIAL,FI-NIL-CB-21-00031,12/16/2021,PHP,5000000,5000000,0,0,0,0,0,4500000,4500000,0,0,0,0,0,550,550,0,0,0,TYPHOON ODETTE,,CLOSED,,30000,CEBU BRANCH,N,N,N,R
VILIANA GUANZON,,FI-NIL-CB-21-0000494-00-D,04/14/2021,04/14/2022,1,BUILDING,WAREHOUSE - OTHERS,FI-NIL-CB-22-00065,12/16/2021,PHP,2000000,2000000,0,0,0,0,0,2000000,2000000,0,0,0,0,0,1,0,0,0,0,DAMAGE TO BUILDING,,CLOSED,,2471,KATHERINE O. SANCHEZ,N,N,N,R
CEBU VIS-MIN MARKETING CORP.,,FI-NIL-CB-21-0000495-00-D,04/01/2021,04/01/2022,1,STOCKS,WAREHOUSE - OTHERS,FI-NIL-CB-21-00028,12/16/2021,PHP,17000000,17000000,0,0,0,0,0,17000000,17000000,0,0,0,0,0,0,0,0,0,0,TYPHOON ODETTE,,NOT PURSUED,,2501,VERNA MAY D. MAGTIBAY,N,N,N,I
AURORA G. YOSORES,,FI-NIL-CB-21-0000505-00-D,03/19/2021,03/19/2022,1,BUILDING,RESIDENTIAL,FI-NIL-CB-22-00057,12/16/2021,PHP,2000000,2000000,0,0,0,0,0,1500000,1500000,0,0,0,0,0,1,0,0,0,0,DAMAGE TO BUILDING,,CLOSED,,35,FELIPE S. VENTULAN,N,N,N,R
ROY A. DAYAG,,FI-NIL-CB-21-0000517-00-D,03/22/2021,03/22/2022,1,BUILDING,GENERAL - COMMERCIAL,FI-NIL-CB-21-00043,12/16/2021,PHP,18000000,18000000,0,0,0,0,0,5000000,5000000,0,0,0,0,0,0,0,0,0,0,TYPHOON ODETTE,,CLOSED,,4316,JANETH E. EMPERIO,N,N,N,R
ROY A. DAYAG,,FI-NIL-CB-21-0000517-00-D,03/22/2021,03/22/2022,2,STOCKS,GENERAL - COMMERCIAL,FI-NIL-CB-21-00043,12/16/2021,PHP,18000000,18000000,0,0,0,0,0,4000000,4000000,0,0,0,0,0,0,0,0,0,0,TYPHOON ODETTE,,CLOSED,,4316,JANETH E. EMPERIO,N,N,N,R
ROY A. DAYAG,,FI-NIL-CB-21-0000517-00-D,03/22/2021,03/22/2022,3,BUILDING,GENERAL - COMMERCIAL,FI-NIL-CB-21-00043,12/16/2021,PHP,18000000,18000000,0,0,0,0,0,4000000,4000000,0,0,0,0,0,228880,228880,0,0,0,TYPHOON ODETTE,,CLOSED,,4316,JANETH E. EMPERIO,N,N,N,R
ROY A. DAYAG,,FI-NIL-CB-21-0000517-00-D,03/22/2021,03/22/2022,4,STOCKS,GENERAL - COMMERCIAL,FI-NIL-CB-21-00043,12/16/2021,PHP,18000000,18000000,0,0,0,0,0,5000000,5000000,0,0,0,0,0,176522.32,176522.32,59678.33,59678.33,0,TYPHOON ODETTE,,CLOSED,,4316,JANETH E. EMPERIO,N,N,N,R
ERNA V. ARRIESGADO,,FI-NIL-CB-21-0000538-00-D,03/21/2021,03/21/2022,1,BUILDING,RESIDENTIAL,FI-NIL-CB-22-00047,12/16/2021,PHP,2700000,2700000,0,0,0,0,0,2500000,2500000,0,0,0,0,0,60797.3,60797.3,0,0,0,DAMAGE TO BUILDING,,CLOSED,,30000,CEBU BRANCH,N,N,N,R
MAE SHARONA P. CALONZO,,FI-NIL-CB-21-0000555-00-D,03/30/2021,03/30/2022,1,BUILDING,RESIDENTIAL,FI-NIL-CB-22-00078,12/16/2021,PHP,2000000,2000000,0,0,0,0,0,2000000,2000000,0,0,0,0,0,39356.63,39356.63,0,0,0,DAMAGE TO BUILDING,,CLOSED,,4086,LIZELDA SARDONCILLO PANERIO,N,N,N,R
MAE SHARONA P. CALONZO,,FI-NIL-CB-21-0000556-00-D,03/30/2021,03/30/2022,1,BUILDING,RESIDENTIAL,FI-NIL-CB-21-00024,12/16/2021,PHP,2000000,2000000,0,0,0,0,0,2000000,2000000,0,0,0,0,0,1,0,0,0,0,Damage to Building,,CLOSED,,4086,LIZELDA SARDONCILLO PANERIO,N,N,N,R
MAE SHARONA P. CALONZO,,FI-NIL-CB-21-0000556-00-D,03/30/2021,03/30/2022,1,BUILDING,RESIDENTIAL,FI-NIL-CB-21-00025,12/16/2021,PHP,2000000,2000000,0,0,0,0,0,2000000,2000000,0,0,0,0,0,0,0,0,0,0,Damage to Building,,CLOSED,,4086,LIZELDA SARDONCILLO PANERIO,N,N,N,R
JJ & J & GENERAL SUPPLY (BLUE SPACE BEACH RESORT),,FI-NIL-CB-21-0000584-00-D,04/05/2021,04/05/2022,1,BUILDING,GENERAL - COMMERCIAL,FI-NIL-CB-22-00058,12/16/2021,PHP,10000000,10000000,0,0,0,0,0,10000000,10000000,0,0,0,0,0,331233.11,331233.11,29086.96,29086.96,0,TYPHOON ODETTE,,CLOSED,,2755,LORENA E. BELZA,N,N,N,I
HARRY BAGUIO,,FI-NIL-CB-21-0000634-00-D,04/11/2021,04/11/2022,1,BUILDING,RESIDENTIAL,FI-NIL-CB-21-00019,12/16/2021,PHP,1600000,1600000,0,0,0,0,0,1600000,1600000,0,0,0,0,0,212733.33,212733.33,17905,17905,0,Damage to Building,,CLOSED,,30000,CEBU BRANCH,N,N,N,R
JOSEPH VAN HEMELEN,,FI-NIL-CB-21-0000667-00-D,04/22/2021,04/22/2022,1,BUILDING,RESIDENTIAL,FI-NIL-CB-21-00026,12/16/2021,PHP,20000000,20000000,0,0,0,0,0,20000000,20000000,0,0,0,0,0,1,0,0,0,0,Damage to Building,,CLOSED,,3241,GIOLIE ANN D. LAVILLA,N,N,N,R
ALLAN POLLISCO,,FI-NIL-CB-21-0000710-00-D,04/29/2021,04/29/2022,1,BUILDING,RESIDENTIAL,FI-NIL-CB-22-00074,12/16/2021,PHP,4000000,4000000,0,0,0,0,0,3000000,3000000,0,0,0,0,0,37606.4,37606.4,0,0,0,DAMAGE TO BUILDING,,CLOSED,,3213,ALLAN M. POLLISCO,N,N,N,R
ROSEMARIE OLITA VANTORRE,,FI-NIL-CB-21-0000712-00-D,05/15/2021,05/15/2022,1,BUILDING,RESIDENTIAL,FI-NIL-CB-21-00036,12/16/2021,PHP,3000000,3000000,0,0,0,0,0,2000000,2000000,0,0,0,0,0,1,0,0,0,0,TYPHOON ODETTE,,CLOSED,,2239,FELISA FLORIDA C. PLAZA,N,N,N,R
"CATHERINE &  ROMAN OBENZA, JR. SPS.",,FI-NIL-CB-21-0000713-00-D,05/21/2021,05/21/2022,1,BUILDING,RESIDENTIAL,FI-NIL-CB-22-00042,12/16/2021,PHP,4800000,4800000,0,0,0,0,0,3500000,3500000,0,0,0,0,0,1,0,0,0,0,DAMAGE TO BUILDING,,CLOSED,,3200,EDWARD D.C. MENCHAVEZ,N,N,N,R
NICOMEDES M. GALOPE,,FI-NIL-CB-21-0000738-00-D,04/08/2021,04/08/2022,1,BUILDING,RESIDENTIAL,FI-NIL-CB-22-00030,12/16/2021,PHP,1500000,1500000,0,0,0,0,0,1200000,1200000,0,0,0,0,0,11330.52,11330.52,0,0,0,DAMAGE TO BUILDING,,CLOSED,,30000,CEBU BRANCH,N,N,N,R
CECILIA CHUA YUTIAMCO,,FI-NIL-CB-21-0000751-00-D,05/07/2021,05/07/2022,1,BUILDING,RESIDENTIAL,FI-NIL-CB-22-00026,12/16/2021,PHP,1500000,1500000,0,0,0,0,0,1500000,1500000,0,0,0,0,0,550,550,0,0,0,DAMAGE TO BUILDING,,CLOSED,,30000,CEBU BRANCH,N,N,N,R
