ASSURED NAME,VESSEL,POLICY NUMBER,INCEPT DATE,EXPIRY DATE,ITEM NUMBER,ITEM TITLE,CLAIM NUMBER,DATE OF LOSS,CURRENCY,POLICY GROSS SUM INSURED,POLICY RETAINED SUM INSURED,POLICY QS SUM INSURED,POLICY SURPLUS SUM INSURED,POLICY PMMSC SUM INSURED,POLICY OTHER TREATY SUM INSURED,POLICY FACUL SUM INSURED,ITEM GROSS SUM INSURED,ITEM RETAINED SUM INSURED,ITEM QS SUM INSURED,ITEM SURPLUS SUM INSURED,ITEM PMMSC SUM INSURED,ITEM OTHER TREATY SUM INSURED,ITEM FACUL SUM INSURED,LOSS RESERVE,LOSS PAID,EXPENSE RESERVE,EXPENSE PAID,RECOVERIES,LOSS DESCRIPTION,LOSS DETAIL,STATUS,FRONTING/REFERRED,INTM NUMBER,INTERMEDIARY NAME,WITH EX-GRATIA,ORG TYPE
PILMICO FOODS CORPORATION AND PILMICO ANIMAL NUTRITION CORPORATION,,MN-MAR-HO-21-0001994-00-D,05/31/2021,11/30/2022,1,Approved Cargo,MN-MAR-HO-21-00290,12/22/2021,USD,58000000,1160000,0,0,0,0,56840000,58000000,1160000,0,0,0,0,56840000,0,0,0,0,0,PILMICO PRODUCTS,"LOCATION: SITIO LIBO, TAYUD, CONSOLACION, CEBU",CLOSED,,358,"AON INSURANCE & REINSURANCE BROKERS PHILS., INC.",N,I
PILMICO FOODS CORPORATION AND PILMICO ANIMAL NUTRITION CORPORATION,,MN-MAR-HO-21-0001994-00-D,05/31/2021,11/30/2022,1,Approved Cargo,MN-MAR-HO-21-00291,12/22/2021,USD,58000000,1160000,0,0,0,0,56840000,58000000,1160000,0,0,0,0,56840000,0,0,0,0,0,PILMICO PRODUCTS,"LOCATION: TAYUD, CONSOLACION, CEBU WAREHOUSE (NEAR MARVICK)",CLOSED,,358,"AON INSURANCE & REINSURANCE BROKERS PHILS., INC.",N,I
PILMICO FOODS CORPORATION AND PILMICO ANIMAL NUTRITION CORPORATION,,MN-MAR-HO-21-0001994-00-D,05/31/2021,11/30/2022,1,Approved Cargo,MN-MAR-HO-21-00292,12/22/2021,USD,58000000,1160000,0,0,0,0,56840000,58000000,1160000,0,0,0,0,56840000,867208,867208,18006.04,18006.04,-6685,PILMICO PRODUCTS,"LOCATION: MARVICK MILLING CORP. SITIO TAWAGAN, TAYUD, CONSULATION CEBU",CLOSED,,358,"AON INSURANCE & REINSURANCE BROKERS PHILS., INC.",N,I
PILMICO FOODS CORPORATION AND PILMICO ANIMAL NUTRITION CORPORATION,,MN-MAR-HO-21-0001994-00-D,05/31/2021,11/30/2022,1,Approved Cargo,MN-MAR-HO-21-00293,12/22/2021,USD,58000000,1160000,0,0,0,0,56840000,58000000,1160000,0,0,0,0,56840000,18121.22,0,0,0,0,PILMICO PRODUCTS,"LOCATION: BLDG. CC-1, CA-3 & CD-2 TAGOLOAN, MISAMIS ORIENTAL",CLOSED,,358,"AON INSURANCE & REINSURANCE BROKERS PHILS., INC.",N,I
PILMICO FOODS CORPORATION AND PILMICO ANIMAL NUTRITION CORPORATION,,MN-MAR-HO-21-0001994-00-D,05/31/2021,11/30/2022,1,Approved Cargo,MN-MAR-HO-21-00294,12/22/2021,USD,58000000,1160000,0,0,0,0,56840000,58000000,1160000,0,0,0,0,56840000,0,0,0,0,0,PILMICO PRODUCTS,"3 UNIT-BLDG. PUROK 3, EL SALVADOR CITY, MISAMIS ORIENTAL",CLOSED,,358,"AON INSURANCE & REINSURANCE BROKERS PHILS., INC.",N,I
PILMICO FOODS CORPORATION AND PILMICO ANIMAL NUTRITION CORPORATION,,MN-MAR-HO-21-0001994-00-D,05/31/2021,11/30/2022,1,Approved Cargo,MN-MAR-HO-21-00295,12/22/2021,USD,58000000,1160000,0,0,0,0,56840000,58000000,1160000,0,0,0,0,56840000,0,0,0,0,0,PILMICO PRODUCTS,"LOCATION: WAREHOUSE 1, 2 & 3, TAMBO, ILIGAN CITY",CLOSED,,358,"AON INSURANCE & REINSURANCE BROKERS PHILS., INC.",N,I
"EMERALD WIRELESS TECH., INC.",,MN-MAR-HO-21-0002289-00-D,07/19/2021,07/18/2022,1,Phones/Tablets/Etc.,MN-MAR-HO-21-00308,12/16/2021,PHP,487904054.4,0,0,0,0,0,487904054.4,487904054.4,0,0,0,0,0,487904054.4,58903.05,58903.05,0,0,0,CELLPHONE & ACCESSORIES,TYPHOON ODETTE,OS-FOR APPROVAL,,825,"MARSH PHILIPPINES, INC.",N,I
"EMERALD WIRELESS TECH., INC.",,MN-MAR-HO-21-0002289-00-D,07/19/2021,07/18/2022,1,Phones/Tablets/Etc.,MN-MAR-HO-22-00174,12/16/2021,PHP,487904054.4,0,0,0,0,0,487904054.4,487904054.4,0,0,0,0,0,487904054.4,0,0,0,0,0,Cellphone Accesories,,CLOSED,,825,"MARSH PHILIPPINES, INC.",N,I
"UNIOIL PETROLEUM PHILIPPINES, INC.",,MN-MAR-HO-21-0002353-00-D,05/01/2021,04/30/2022,1,Approved Cargoes,MN-MAR-HO-21-00287,12/16/2021,USD,3000000,3000000,0,0,0,0,0,3000000,3000000,0,0,0,0,0,0,0,3.09,3.09,0,"PETROLEUM, LUBRICANT",LOCATION: CEBU,CLOSED,,358,"AON INSURANCE & REINSURANCE BROKERS PHILS., INC.",N,I
"SEAOIL PHILIPPINES, INC.",,MN-MAR-HO-21-0002505-00-D,05/24/2021,05/23/2022,1,Approved Cargoes,MN-MAR-HO-22-00005,12/16/2021,USD,1260000,1260000,0,0,0,0,0,1260000,1260000,0,0,0,0,0,0,0,0,0,0,LUBRICANT OIL,TYPHOON ODETTE,CLOSED,,358,"AON INSURANCE & REINSURANCE BROKERS PHILS., INC.",N,I
INSULAR OIL CORPORATION,,MN-MAR-HO-21-0002597-00-D,09/26/2021,09/26/2022,1,Petroleum Products,MN-MAR-HO-21-00297,12/21/2021,PHP,135000000,135000000,0,0,0,0,0,135000000,135000000,0,0,0,0,0,0,0,0,0,0,MOGAS & DIESEL,VESSEL: MT BULUSAN ,CLOSED,,1096,"REGOSO & COMPANY INSURANCE AGENCY, INC.",N,I
INSULAR OIL CORPORATION,,MN-MAR-HO-21-0002597-00-D,09/26/2021,09/26/2022,1,Petroleum Products,MN-MAR-HO-21-00299,12/21/2021,PHP,135000000,135000000,0,0,0,0,0,135000000,135000000,0,0,0,0,0,0,0,0,0,0,MOGAS & DIESEL,VESSEL: MT ANIMO,CLOSED,,1096,"REGOSO & COMPANY INSURANCE AGENCY, INC.",N,I
"FUNAI ELECTRIC CEBU, INC.",,MN-MAR-HO-21-0003041-00-D,11/14/2021,01/14/2023,1,Approved Cargoes,MN-MAR-HO-22-00056,12/16/2021,USD,1500000,1500000,0,0,0,0,0,1500000,1500000,0,0,0,0,0,0,0,0,0,0,TYPHOON ODETTE,,CLOSED,,358,"AON INSURANCE & REINSURANCE BROKERS PHILS., INC.",N,I
"F2 LOGISTICS (PHILS.), INC. / F2 GLOBAL LOGISTICS, INC. / VARIOUS SHIPPERS OR CARGO OWNERS",,MN-MAR-HO-21-0003074-00-D,11/05/2021,11/05/2022,1,Approved Cargo,MN-MAR-HO-22-00014,12/16/2021,PHP,40000000,40000000,0,0,0,0,0,40000000,40000000,0,0,0,0,0,989285.71,989285.71,33693.7,33693.7,0,DAIRY MILK,TYPHOON ODETTE- CONTAINER#ASLU201174-5,CLOSED,,551,"LACSON & LACSON INSURANCE BROKERS, INC.",N,I
CONSIGNEE: CLOUDBURST AND PRESENT TRADING INC,,MN-MAR-IL-21-0000081-00-D,12/07/2021,12/31/2021,1,VT GLUTINOUS RICE,MN-MAR-IL-21-00001,12/16/2021,PHP,17934974.79,17934974.79,0,0,0,0,0,17934974.79,17934974.79,0,0,0,0,0,0,0,28777.22,28777.22,0,AMALIA C,VT GLUTINOUS RICE ,CLOSED,,70000,ILOILO BRANCH,N,I
CONSIGNEE: CLOUDBURST AND PRESENT TRADING INC,,MN-MAR-IL-21-0000082-00-D,12/07/2021,12/31/2021,1,VT WHITE RICE BROKEN,MN-MAR-IL-21-00002,12/16/2021,PHP,9434715,9434715,0,0,0,0,0,9434715,9434715,0,0,0,0,0,0,0,23223,23223,0,AQUAMARINE,VT WHITE RICE BROKEN,CLOSED,,70000,ILOILO BRANCH,N,I
CONSIGNEE: CLOUDBURST AND PRESENT TRADING INC,,MN-MAR-IL-21-0000083-00-D,12/07/2021,12/31/2021,1,VT WHITE RICE 5% BRK,MN-MAR-IL-21-00003,12/16/2021,PHP,85574720,85574720,0,0,0,0,0,85574720,85574720,0,0,0,0,0,4250535.24,4250535.24,121583.3,121583.3,-863250,AQUAMARINE,VT WHITE RICE 5% BRK,OS-FOR APPROVAL,,70000,ILOILO BRANCH,N,I
PHILCEMENT CORPORATION,,MN-MRN-HO-22-0000032-00-D,12/10/2021,12/10/2022,1,CEMENT,MN-MRN-HO-22-00002,12/17/2021,PHP,14925000,14925000,0,0,0,0,0,14925000,14925000,0,0,0,0,0,4736500,4736500,128889,128889,-1500400,986 MT CEMENT,MV MARY QUEEN ,OS-FOR APPROVAL,,473,"PHINMA INSURANCE BROKERS, INC.",N,I
