ASSURED NAME,VESSEL,POLICY NUMBER,INCEPT DATE,EXPIRY DATE,ITEM NUMBER,ITEM TITLE,CLAIM NUMBER,DATE OF LOSS,CURRENCY,POLICY GROSS SUM INSURED,POLICY RETAINED SUM INSURED,POLICY QS SUM INSURED,POLICY SURPLUS SUM INSURED,POLICY PMMSC SUM INSURED,POLICY OTHER TREATY SUM INSURED,POLICY FACUL SUM INSURED,ITEM GROSS SUM INSURED,ITEM RETAINED SUM INSURED,ITEM QS SUM INSURED,ITEM SURPLUS SUM INSURED,ITEM PMMSC SUM INSURED,ITEM OTHER TREATY SUM INSURED,ITEM FACUL SUM INSURED,LOSS RESERVE,LOSS PAID,EXPENSE RESERVE,EXPENSE PAID,RECOVERIES,LOSS DESCRIPTION,LOSS DETAIL,STATUS,FRONTING/REFERRED,INTM NUMBER,INTERMEDIARY NAME,WITH EX-GRATIA,ORG TYPE
"CONCRETE SOLUTIONS, INC. AND/OR PRIMARY TRIDENT MARINE SOLUTIONS, INC.",,MH-NIL-HO-20-0001162-00-D,05/31/2021,05/31/2022,1,CASTOR 6 EX FERNANDO,MH-NIL-HO-20-00042,12/16/2021,PHP,45000000,15300000,0,0,0,29700000,0,45000000,15300000,0,0,0,29700000,0,22500000,22500000,42564.44,42564.44,0,Grounding,"due to typhoon Odette""""",CLOSED,,490,BDO INSURANCE AND REINSURANCE BROKERS INCORPORATED,N,I
"CONCRETE SOLUTIONS, INC. AND/OR PRIMARY TRIDENT MARINE SOLUTIONS, INC.",,MH-NIL-HO-20-0001164-00-D,05/31/2021,05/31/2022,1,CASTOR 8,MH-NIL-HO-20-00043,12/16/2021,PHP,35000000,15300000,0,0,0,19700000,0,35000000,15300000,0,0,0,19700000,0,0,0,0,0,0,Aground,"due to typhoon Odette""""",CLOSED,,490,BDO INSURANCE AND REINSURANCE BROKERS INCORPORATED,N,I
"CONCRETE SOLUTIONS, INC. AND/OR PRIMARY TRIDENT MARINE SOLUTIONS, INC.",,MH-NIL-HO-20-0001168-00-D,05/31/2021,05/31/2022,1,POLLUX 2,MH-NIL-HO-20-00044,12/16/2021,PHP,19000000,19000000,0,0,0,0,0,19000000,19000000,0,0,0,0,0,0,0,0,0,0,Hull Damage,"due to typhoon Odette""""",OUTSTANDING,,490,BDO INSURANCE AND REINSURANCE BROKERS INCORPORATED,N,I
"CONCRETE SOLUTIONS, INC. AND/OR PRIMARY TRIDENT MARINE SOLUTIONS, INC.",,MH-NIL-HO-20-0001170-00-D,05/31/2021,05/31/2022,1,POLLUX 3 EX BEATRIZ,MH-NIL-HO-20-00045,12/16/2021,PHP,25000000,15300000,0,0,0,9700000,0,25000000,15300000,0,0,0,9700000,0,0,0,0,0,0,Hull damage,"due to typhoon Odette""""",OUTSTANDING,,490,BDO INSURANCE AND REINSURANCE BROKERS INCORPORATED,N,I
"CONCRETE SOLUTIONS, INC. AND/OR PRIMARY TRIDENT MARINE SOLUTIONS, INC.",,MH-NIL-HO-20-0001172-00-D,05/31/2021,05/31/2022,1,POLLUX - 5,MH-NIL-HO-20-00046,12/16/2021,PHP,27000000,15300000,0,0,0,11700000,0,27000000,15300000,0,0,0,11700000,0,0,0,0,0,0,Hull damage,"due to typhoon Odette""""",OUTSTANDING,,490,BDO INSURANCE AND REINSURANCE BROKERS INCORPORATED,N,I
"CONCRETE SOLUTIONS, INC. AND/OR PRIMARY TRIDENT MARINE SOLUTIONS, INC",,MH-NIL-HO-20-0001174-00-D,05/31/2021,05/31/2022,1,POLLUX 6 EX ADNAMA,MH-NIL-HO-20-00047,12/16/2021,PHP,30000000,15300000,0,0,0,14700000,0,30000000,15300000,0,0,0,14700000,0,0,0,0,0,0,Hull damage,"due to typhoon Odette""""",OUTSTANDING,,490,BDO INSURANCE AND REINSURANCE BROKERS INCORPORATED,N,I
"CONCRETE SOLUTIONS, INC. AND/OR PRIMARY TRIDENT MARINE SOLUTIONS, INC.",,MH-NIL-HO-20-0001176-00-D,05/31/2021,05/31/2022,1,POLLUX 7,MH-NIL-HO-20-00048,12/16/2021,PHP,35000000,15300000,0,0,0,19700000,0,35000000,15300000,0,0,0,19700000,0,0,0,0,0,0,Hull damage,"due to typhoon Odette""""",OUTSTANDING,,490,BDO INSURANCE AND REINSURANCE BROKERS INCORPORATED,N,I
"CONCRETE SOLUTIONS, INC. AND/OR PRIMARY TRIDENT MARINE SOLUTIONS, INC.",,MH-NIL-HO-20-0001178-00-D,05/31/2021,05/31/2022,1,POLLUX 8,MH-NIL-HO-20-00049,12/16/2021,PHP,28000000,15300000,0,0,0,12700000,0,28000000,15300000,0,0,0,12700000,0,0,0,0,0,0,Hull damage,"due to typhoon Odette""""",CLOSED,,490,BDO INSURANCE AND REINSURANCE BROKERS INCORPORATED,N,I
"CONCRETE SOLUTIONS, INC. AND/OR PRIMARY TRIDENT MARINE SOLUTIONS, INC.",,MH-NIL-HO-20-0001186-00-D,05/31/2021,05/31/2022,1,POSEIDON 14,MH-NIL-HO-20-00050,12/16/2021,PHP,65000000,15300000,0,0,0,49700000,0,65000000,15300000,0,0,0,49700000,0,0,0,18208.93,18208.93,0,Hull damage,"due to typhoon Odette""""",CLOSED,,490,BDO INSURANCE AND REINSURANCE BROKERS INCORPORATED,N,I
"CONCRETE SOLUTIONS, INC. AND/OR PRIMARY TRIDENT MARINE SOLUTIONS, INC.",,MH-NIL-HO-20-0001188-00-D,05/31/2021,05/31/2022,1,POSEIDON 16,MH-NIL-HO-20-00051,12/16/2021,PHP,65000000,15300000,0,0,0,49700000,0,65000000,15300000,0,0,0,49700000,0,0,0,0,0,0,Hull damage,"due to typhoon Odette""""",CLOSED,,490,BDO INSURANCE AND REINSURANCE BROKERS INCORPORATED,N,I
"CONCRETE SOLUTIONS, INC. AND/OR PRIMARY TRIDENT MARINE SOLUTIONS, INC.",,MH-NIL-HO-20-0001190-00-D,05/31/2021,05/31/2022,1,POSEIDON 17,MH-NIL-HO-20-00052,12/16/2021,PHP,65000000,15300000,0,0,0,49700000,0,65000000,15300000,0,0,0,49700000,0,0,0,0,0,0,Hull damage,"due to typhoon Odette""""",CLOSED,,490,BDO INSURANCE AND REINSURANCE BROKERS INCORPORATED,N,I
"CONCRETE SOLUTIONS, INC. AND/OR PRIMARY TRIDENT MARINE SOLUTIONS, INC.",,MH-NIL-HO-20-0001196-00-D,05/31/2021,05/31/2022,1,POSEIDON 36,MH-NIL-HO-20-00053,12/16/2021,PHP,90000000,15300000,0,0,0,74700000,0,90000000,15300000,0,0,0,74700000,0,0,0,0,0,0,Hull damage,"due to typhoon Odette""""",CLOSED,,490,BDO INSURANCE AND REINSURANCE BROKERS INCORPORATED,N,I
"CONCRETE SOLUTIONS, INC. AND/OR PRIMARY TRIDENT MARINE SOLUTIONS, INC.",,MH-NIL-HO-20-0001202-00-D,05/31/2021,05/31/2022,1,POSEIDON 39,MH-NIL-HO-20-00054,12/16/2021,PHP,85000000,15300000,0,0,0,69700000,0,85000000,15300000,0,0,0,69700000,0,0,0,0,0,0,Hull damage,"due to typhoon Odette""""",CLOSED,,490,BDO INSURANCE AND REINSURANCE BROKERS INCORPORATED,N,I
"CONCRETE SOLUTIONS, INC. AND/OR PRIMARY TRIDENT MARINE SOLUTIONS, INC.",,MH-NIL-HO-20-0001204-00-D,05/31/2021,05/31/2022,1,POSEIDON 40,MH-NIL-HO-20-00055,12/16/2021,PHP,85000000,15300000,0,0,0,69700000,0,85000000,15300000,0,0,0,69700000,0,0,0,0,0,0,Hull damage,"due to typhoon Odette""""",CLOSED,,490,BDO INSURANCE AND REINSURANCE BROKERS INCORPORATED,N,I
"CONCRETE SOLUTIONS, INC. AND/OR PRIMARY TRIDENT MARINE SOLUTIONS, INC.",,MH-NIL-HO-20-0001206-00-D,05/31/2021,05/31/2022,1,POSEIDON 41,MH-NIL-HO-20-00056,12/16/2021,PHP,85000000,15300000,0,0,0,69700000,0,85000000,15300000,0,0,0,69700000,0,0,0,0,0,0,Hull damage,"due to typhoon Odette""""",CLOSED,,490,BDO INSURANCE AND REINSURANCE BROKERS INCORPORATED,N,I
PGMC-CNEP SHIPPING SERVICES CORPORATION,,MH-NIL-HO-20-0001307-00-D,06/26/2021,10/20/2022,1,PGMC1,MH-NIL-HO-20-00061,12/16/2021,PHP,51255000,15300000,0,0,0,35955000,0,51255000,15300000,0,0,0,35955000,0,6201880.8,6201880.8,580325,0,0,"Contact with Precious Ferry""""","due to typhoon Odette""""",OS-FOR APPROVAL,,845,"TRINITY INSURANCE AND REINSURANCE BROKERS, INC.",N,I
PGMC-CNEP SHIPPING SERVICES CORPORATION,,MH-NIL-HO-20-0001309-00-D,06/26/2021,10/20/2022,1,PGMC2,MH-NIL-HO-20-00062,12/16/2021,PHP,51255000,15300000,0,0,0,35955000,0,51255000,15300000,0,0,0,35955000,0,2000000,0,210000,0,0,Hull damage,"due to typhoon Odette""""",OUTSTANDING,,845,"TRINITY INSURANCE AND REINSURANCE BROKERS, INC.",N,I
LA COSTA SHIPPING & LIGHTERAGE CORP.(OWNERS) / CAGDIANAO MINING CORP.(MANAGERS),,MH-NIL-HO-21-0000071-00-D,07/20/2021,07/20/2022,1,VALENCIA NICKEL 7,MH-NIL-HO-21-00014,12/16/2021,PHP,10000000,10000000,0,0,0,0,0,10000000,10000000,0,0,0,0,0,2500000,0,49844,49844,0,Grounding ,"due to typhoon Odette""""",OS-FOR PAYMENT,,629,MIMI M. JORGE,N,I
ECOLOGY MARINE CORPORATION,,MH-NIL-HO-21-0000084-00-D,08/04/2021,08/04/2022,1,JOSEFA - 1 EX JOSEFA,MH-NIL-HO-21-00003,12/17/2021,PHP,7500000,7500000,0,0,0,0,0,7500000,7500000,0,0,0,0,0,3750000,3750000,12450,12450,0,"Sank due to typhoon Odette""""", ,CLOSED,,490,BDO INSURANCE AND REINSURANCE BROKERS INCORPORATED,Y,I
ECOLOGY MARINE CORPORATION,,MH-NIL-HO-21-0000090-00-D,08/04/2021,08/04/2022,1,PATRIOT III,MH-NIL-HO-21-00004,12/16/2021,PHP,92000000,15300000,0,0,0,76700000,0,92000000,15300000,0,0,0,76700000,0,5864462.92,5864462.92,478100,478100,0,Grounding,"due to typhoon Odette""""",CLOSED,,490,BDO INSURANCE AND REINSURANCE BROKERS INCORPORATED,N,I
"ISLAS TANKERS SEATRANSPORT CORPORATION, AS OWNERS, MAGSAYSAY SHIPMANAGEMENT, INC., AS MANAGERS, FAIRMONT SHIPPING (CANADA) LTD., AS MANAGERS' AGENT",,MH-NIL-HO-21-0000248-00-D,09/29/2021,09/29/2022,1,MASBATE ISLAND,MH-NIL-HO-21-00002,12/16/2021,USD,7000000,300000,0,0,0,1625000,5075000,7000000,300000,0,0,0,1625000,5075000,1820267.78,1820267.78,128264.42,128264.42,0,Grounding,"due to typhoon Odette""""",OS-FOR APPROVAL,,0,DIRECT BUSINESS,N,I
"CONCRETE SOLUTIONS, INC. AND/OR PRIMARY TRIDENT MARINE SOLUTIONS, INC.",,MH-NIL-HO-21-0000385-00-I,07/10/2021,07/10/2022,1,POSEIDON 20,MH-NIL-HO-21-00005,12/16/2021,PHP,61750000,15300000,0,0,0,46450000,0,61750000,15300000,0,0,0,46450000,0,0,0,0,0,0,Hull damage,"due to typhoon Odette""""",OUTSTANDING,,604,BPI/MS INSURANCE CORPORATION,N,I
"CONCRETE SOLUTIONS, INC. AND/OR PRIMARY TRIDENT MARINE SOLUTIONS, INC.",,MH-NIL-HO-21-0000389-00-I,07/10/2021,07/10/2022,1,POSEIDON 23,MH-NIL-HO-21-00006,12/16/2021,PHP,61750000,15300000,0,0,0,46450000,0,61750000,15300000,0,0,0,46450000,0,0,0,0,0,0,Hull damage,"due to typhoon Odette""""",OUTSTANDING,,604,BPI/MS INSURANCE CORPORATION,N,I
"CONCRETE SOLUTIONS, INC. AND/OR PRIMARY TRIDENT MARINE SOLUTIONS, INC.",,MH-NIL-HO-21-0000391-00-I,07/10/2021,07/10/2022,1,POSEIDON 24,MH-NIL-HO-21-00007,12/16/2021,PHP,61750000,15300000,0,0,0,46450000,0,61750000,15300000,0,0,0,46450000,0,0,0,0,0,0,Hull damage,"due to typhoon Odette""""",OUTSTANDING,,604,BPI/MS INSURANCE CORPORATION,N,I
"CONCRETE SOLUTIONS, INC. AND/OR PRIMARY TRIDENT MARINE SOLUTIONS, INC.",,MH-NIL-HO-21-0000395-00-I,07/10/2021,07/10/2022,1,POSEIDON 27,MH-NIL-HO-21-00008,12/16/2021,PHP,80750000,15300000,0,0,0,65450000,0,80750000,15300000,0,0,0,65450000,0,4275000,0,0,0,0,Hull damage,"due to typhoon Odette""""",OS-ADJUSTER,,604,BPI/MS INSURANCE CORPORATION,N,I
"CONCRETE SOLUTIONS, INC. AND/OR PRIMARY TRIDENT MARINE SOLUTIONS, INC.",,MH-NIL-HO-21-0000397-00-I,07/10/2021,07/10/2022,1,POSEIDON 28,MH-NIL-HO-21-00009,12/16/2021,PHP,76000000,15300000,0,0,0,60700000,0,76000000,15300000,0,0,0,60700000,0,2375000,0,0,0,0,Hull damage,"due to typhoon Odette""""",OS-ADJUSTER,,604,BPI/MS INSURANCE CORPORATION,N,I
